	Trait	TrainSet	ValidSet	Model	Test_Accuracy	Valid_Accuracy	MSE	Runtime	Leaves	Trees
29	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.0522509238406539	4.119213465711806	0.0	500.0	100.0
30	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	500.0	200.0
31	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	500.0	200.0
32	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	500.0	200.0
33	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	500.0	500.0
34	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	500.0	500.0
35	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	500.0	500.0
36	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	1000.0	50.0
37	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	1000.0	50.0
38	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	1000.0	50.0
39	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.0522509238406539	4.119213465711806	0.0	1000.0	100.0
40	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	1000.0	100.0
41	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	1000.0	100.0
42	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	1000.0	200.0
43	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	1000.0	200.0
44	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	1000.0	200.0
45	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	1000.0	500.0
46	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	1000.0	500.0
47	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	1000.0	500.0
48	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	2000.0	50.0
49	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	2000.0	50.0
50	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	2000.0	50.0
51	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	2000.0	100.0
52	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	2000.0	100.0
53	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	2000.0	100.0
54	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	2000.0	200.0
55	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703891	4.069866441793775	0.0	2000.0	200.0
56	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	2000.0	200.0
57	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	2000.0	500.0
58	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	2000.0	500.0
59	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	2000.0	500.0
60	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	5000.0	50.0
61	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	5000.0	50.0
62	smut	[2, 3, 4, 5]	1	RF	0.3582639264375372	0.046227509768665506	4.152175750248015	0.0	5000.0	50.0
63	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	5000.0	100.0
64	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	5000.0	100.0
65	smut	[2, 3, 4, 5]	1	RF	0.36519990923428153	0.05225092384065389	4.119213465711806	0.0	5000.0	100.0
66	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	5000.0	200.0
67	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	5000.0	200.0
68	smut	[2, 3, 4, 5]	1	RF	0.36493007831272095	0.07107497891703894	4.069866441793775	0.0	5000.0	200.0
69	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	5000.0	500.0
70	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	5000.0	500.0
71	smut	[2, 3, 4, 5]	1	RF	0.3645095466868206	0.06860285990922645	4.069139398778016	0.0	5000.0	500.0
72	smut	[1, 3, 4, 5]	2	RF	0.328114631098888	0.20508193068343097	4.661405138989411	0.0	50.0	50.0
73	smut	[1, 3, 4, 5]	2	RF	0.328114631098888	0.20508193068343097	4.661405138989411	0.0	50.0	50.0
74	smut	[1, 3, 4, 5]	2	RF	0.328114631098888	0.20508193068343097	4.661405138989411	0.0	50.0	50.0
75	smut	[1, 3, 4, 5]	2	RF	0.32124140450319305	0.19917154803240367	4.663369094089265	0.0	50.0	100.0
76	smut	[1, 3, 4, 5]	2	RF	0.32124140450319305	0.19917154803240367	4.663369094089265	0.0	50.0	100.0
77	smut	[1, 3, 4, 5]	2	RF	0.32124140450319305	0.19917154803240367	4.663369094089265	0.0	50.0	100.0
78	smut	[1, 3, 4, 5]	2	RF	0.32739034351834495	0.22574986358330734	4.596007972272142	0.0	50.0	200.0
79	smut	[1, 3, 4, 5]	2	RF	0.32739034351834495	0.22574986358330734	4.596007972272142	0.0	50.0	200.0
80	smut	[1, 3, 4, 5]	2	RF	0.32739034351834495	0.22574986358330734	4.596007972272142	0.0	50.0	200.0
81	smut	[1, 3, 4, 5]	2	RF	0.3264044668933613	0.2333498080554723	4.577900198754147	0.0	50.0	500.0
82	smut	[1, 3, 4, 5]	2	RF	0.3264044668933613	0.2333498080554723	4.577900198754147	0.0	50.0	500.0
83	smut	[1, 3, 4, 5]	2	RF	0.3264044668933613	0.2333498080554723	4.577900198754147	0.0	50.0	500.0
84	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	100.0	50.0
85	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	100.0	50.0
86	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	100.0	50.0
87	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	100.0	100.0
88	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	100.0	100.0
89	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558236	0.0	100.0	100.0
90	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	100.0	200.0
91	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662748	4.575152862158565	0.0	100.0	200.0
92	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	100.0	200.0
93	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	100.0	500.0
94	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	100.0	500.0
95	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	100.0	500.0
96	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	500.0	50.0
97	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	500.0	50.0
98	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	500.0	50.0
99	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558236	0.0	500.0	100.0
